"PUBID","FP_ADHRISKI","FP_ADPENVRI","FP_ADENRCHI"
1,-4,-4,-4
2,-4,-4,2
3,325,300,2
4,-4,-4,-4
5,500,300,2
6,625,100,1
7,450,0,1
8,-4,-4,-4
9,100,200,2
10,200,200,2
11,850,0,1
12,-4,-4,-4
13,-4,-4,3
14,-4,-4,-4
15,-4,-4,2
16,875,100,2
17,-4,-4,-4
18,850,100,1
19,775,0,1
20,-4,-4,-4
21,325,100,1
22,550,100,1
23,625,200,1
24,300,200,2
25,800,200,1
26,-4,-4,-4
27,-4,-4,-4
28,325,200,1
29,100,300,3
30,-4,-4,-4
31,-4,-4,3
32,-4,-4,-4
33,-4,-4,-4
34,400,0,3
35,-4,-4,-4
36,-4,-4,-4
37,-4,-4,-4
38,-4,-4,-4
39,-4,-4,-4
40,-4,-4,2
41,-4,-4,2
42,-4,-4,2
43,-4,-4,-4
44,-4,-4,-4
45,1150,600,0
46,1475,625,0
47,875,375,0
48,425,400,1
49,600,500,1
50,700,500,1
51,-4,-4,-4
52,1425,500,0
53,300,300,1
54,525,400,1
55,-4,-4,-4
56,0,0,2
57,600,400,1
58,700,200,2
59,-4,-4,-4
60,200,100,2
61,550,125,2
62,-4,-4,-4
63,200,0,1
64,-4,-4,-4
65,300,100,2
66,-4,-4,-4
67,-4,-4,-4
68,-4,-4,-4
69,-4,-4,-4
70,400,0,1
71,-4,-4,-4
72,-4,-4,2
73,-4,-4,3
74,0,0,3
75,-4,-4,2
76,-4,-4,2
77,100,300,2
78,-4,-4,-4
79,200,200,2
80,-4,-4,-4
81,300,300,1
82,225,250,1
83,-4,-4,-4
84,225,250,1
85,100,200,1
86,-4,-4,-4
87,200,300,2
88,-4,-4,-4
89,-4,-4,-4
90,-4,-4,-4
91,100,-4,2
92,325,300,1
93,350,-4,1
94,-4,-4,-4
95,100,100,2
96,100,125,1
97,-4,-4,-4
98,-4,-4,-4
99,400,200,1
100,-4,-4,-4
101,-4,-4,-4
102,800,200,2
103,500,200,2
104,-4,-4,-4
105,0,0,2
106,-4,-4,-4
107,0,100,3
108,0,100,3
109,0,0,2
110,0,0,2
111,-4,-4,-4
112,-4,-4,2
113,100,0,2
114,200,100,2
115,500,0,2
116,400,400,1
117,400,500,3
118,-4,-4,-4
119,300,0,3
120,-4,-4,3
121,-4,-4,-4
122,300,0,2
123,-4,-4,-4
124,-4,-4,2
125,0,0,2
126,-4,-4,-4
127,-4,-4,2
128,0,0,2
129,-4,-4,-4
130,-4,-4,-4
131,-4,-4,-4
132,100,0,2
133,0,0,2
134,-4,-4,1
135,-4,-4,-4
136,100,200,3
137,-4,-4,-4
138,100,0,2
139,0,0,3
140,0,0,2
141,-4,-4,-4
142,-4,-4,-4
143,-4,-4,-4
144,400,100,1
145,200,100,1
146,100,100,2
147,525,0,2
148,625,400,1
149,425,300,3
150,300,300,3
151,400,300,2
152,-4,-4,2
153,-4,-4,-4
154,-4,-4,-4
155,-4,-4,-4
156,100,0,2
157,100,0,1
158,100,0,2
159,-4,-4,-4
160,-4,-4,-4
161,300,100,1
162,-4,-4,-4
163,325,125,2
164,-4,-4,-4
165,-4,-4,-4
166,-4,-4,2
167,300,0,2
168,-4,-4,-4
169,100,125,2
170,200,125,1
171,0,100,2
172,0,0,2
173,-4,-4,-4
174,0,0,2
175,-4,-4,-4
176,0,0,3
177,-4,-4,-4
178,-4,-4,-4
179,-4,-4,-4
180,0,0,3
181,100,0,2
182,0,0,2
183,-4,-4,-4
184,0,100,3
185,-4,-4,-4
186,-4,-4,2
187,200,300,3
188,-4,-4,-4
189,-4,-4,1
190,200,0,2
191,125,200,2
192,200,200,1
193,-4,-4,-4
194,-4,-4,-4
195,500,300,1
196,0,0,3
197,-4,-4,-4
198,-4,-4,-4
199,500,0,3
200,-4,-4,-4
201,300,200,2
202,-4,-4,-4
203,-4,-4,-4
204,-4,-4,-4
205,300,0,1
206,200,200,2
207,-4,-4,-4
208,0,0,2
209,200,200,1
210,700,200,1
211,-4,-4,-4
212,-4,-4,-4
213,400,300,1
214,300,100,1
215,-4,-4,-4
216,-4,-4,-4
217,-4,-4,2
218,-4,-4,1
219,200,100,3
220,300,200,2
221,400,200,2
222,-4,-4,-4
223,-4,-4,-4
224,200,200,1
225,-4,-4,-4
226,-4,-4,-4
227,-4,-4,-4
228,100,100,1
229,0,100,3
230,200,200,1
231,-4,-4,-4
232,100,100,1
233,-4,-4,-4
234,-4,-4,0
235,-4,-4,-4
236,100,0,2
237,0,0,2
238,-4,-4,-4
239,-4,-4,-4
240,100,0,2
241,300,0,1
242,400,0,1
243,600,0,2
244,300,0,2
245,-4,-4,2
246,-4,-4,-4
247,300,0,1
248,400,0,2
249,-4,-4,-4
250,-4,-4,-4
251,400,200,3
252,200,200,3
253,-4,-4,2
254,-4,-4,-4
255,100,0,2
256,-4,-4,-4
257,100,200,1
258,-4,-4,2
259,-4,-4,-4
260,-4,-4,-4
261,200,200,1
262,-4,-4,-4
263,-4,-4,2
264,-4,-4,3
265,400,200,1
266,-4,-4,-4
267,-4,-4,-4
268,-4,-4,-4
269,-4,-4,-4
270,300,100,3
271,800,100,1
272,525,300,1
273,-4,-4,1
274,-4,-4,-4
275,-4,-4,-4
276,425,200,0
277,200,200,1
278,-4,-4,-4
279,-4,-4,-4
280,100,0,2
281,325,200,2
282,-4,-4,-4
283,400,0,1
284,-4,-4,-4
285,-4,-4,-4
286,-4,-4,2
287,-4,-4,-4
288,100,0,3
289,0,0,2
290,0,0,2
291,-4,-4,-4
292,300,200,1
293,100,0,3
294,-4,-4,2
295,200,0,1
296,-4,-4,-4
297,300,100,2
298,400,100,2
299,-4,-4,-4
300,0,0,2
301,-4,-4,-4
302,500,100,3
303,-4,-4,-4
304,200,0,2
305,0,0,2
306,-4,-4,-4
307,-4,-4,-4
308,-4,-4,-4
309,-4,-4,-4
310,-4,-4,2
311,-4,-4,2
312,-4,-4,3
313,-4,-4,-4
314,100,0,3
315,200,0,2
316,200,0,3
317,-4,-4,-4
318,225,0,2
319,100,0,1
320,100,0,2
321,-4,-4,-4
322,200,0,1
323,-4,-4,-4
324,-4,-4,-4
325,-4,-4,2
326,-4,-4,-4
327,-4,-4,2
328,100,0,1
329,-4,-4,2
330,-4,-4,2
331,-4,-4,-4
332,-4,-4,-4
333,300,0,2
334,0,0,3
335,-4,-4,-4
336,300,0,2
337,100,0,2
338,-4,-4,-4
339,-4,-4,-4
340,-4,-4,-4
341,-4,-4,2
342,-4,-4,1
343,-4,-4,2
344,-4,-4,2
345,-4,-4,2
346,425,500,2
347,-4,-4,-4
348,200,100,1
349,325,200,1
350,800,400,1
351,-4,-4,-4
352,-4,-4,-4
353,600,400,2
354,600,300,2
355,-4,-4,-4
356,1100,700,1
357,-4,-4,-4
358,500,400,1
359,625,400,-4
360,-4,-4,1
361,-4,-4,-4
362,-4,-4,-4
363,300,100,1
364,300,100,1
365,425,100,1
366,-4,-4,-4
367,-4,-4,-4
368,-4,-4,-4
369,400,0,1
370,-4,-4,-4
371,525,100,1
372,-4,-4,1
373,575,125,1
374,-4,-4,-4
375,200,0,1
376,-4,-4,-4
377,400,100,1
378,100,100,2
379,-4,-4,-4
380,425,0,2
381,-4,-4,-4
382,-4,-4,-4
383,200,100,2
384,200,100,1
385,-4,-4,-4
386,-4,-4,-4
387,325,300,2
388,-4,-4,1
389,-4,-4,-4
390,500,0,2
391,-4,-4,-4
392,-4,-4,-4
393,-4,-4,2
394,-4,-4,3
395,100,0,3
396,200,0,2
397,400,200,2
398,-4,-4,-4
399,-4,-4,-4
400,500,100,2
401,0,0,2
402,-4,-4,2
403,400,0,1
404,-4,-4,-4
405,-4,-4,-4
406,0,0,3
407,-4,-4,-4
408,-4,-4,-4
409,-4,-4,-4
410,-4,-4,-4
411,-4,-4,-4
412,-4,-4,1
413,-4,-4,-4
414,-4,-4,-4
415,-4,-4,-4
416,-4,-4,-4
417,0,0,2
418,0,0,3
419,200,0,2
420,-4,-4,-4
421,400,0,2
422,-4,-4,-4
423,0,200,-4
424,100,100,3
425,300,100,2
426,-4,-4,-4
427,-4,-4,-4
428,-4,-4,2
429,-4,-4,-4
430,100,0,2
431,325,100,1
432,-4,-4,-4
433,600,100,1
434,600,0,3
435,-4,-4,-4
436,800,400,1
437,-4,-4,-4
438,600,300,1
439,600,300,1
440,-4,-4,-4
441,600,400,1
442,-4,-4,-4
443,-4,-4,-4
444,1050,400,1
445,-4,-4,-4
446,-4,-4,1
447,1000,300,0
448,900,300,1
449,400,400,2
450,-4,-4,-4
451,500,400,1
452,-4,-4,-4
453,900,400,1
454,100,100,1
455,0,100,2
456,200,300,1
457,-4,-4,-4
458,-4,-4,2
459,200,300,2
460,-4,-4,-4
461,500,400,1
462,-4,-4,-4
463,725,300,1
464,-4,-4,-4
465,425,0,1
466,-4,-4,1
467,300,200,1
468,-4,-4,-4
469,100,0,1
470,-4,-4,-4
471,-4,-4,-4
472,800,100,1
473,325,200,1
474,-4,-4,1
475,-4,-4,-4
476,-4,-4,3
477,-4,-4,1
478,0,0,3
479,-4,-4,1
480,-4,-4,-4
481,600,0,0
482,400,200,2
483,-4,-4,-4
484,0,200,3
485,-4,-4,3
486,-4,-4,-4
487,200,100,3
488,200,0,1
489,200,0,2
490,0,200,3
491,0,200,2
492,-4,-4,3
493,-4,-4,-4
494,-4,-4,3
495,-4,-4,2
496,-4,-4,2
497,-4,-4,-4
498,-4,-4,-4
499,200,100,1
500,100,100,2
501,100,100,2
502,200,100,2
503,-4,-4,-4
504,300,0,2
505,400,100,3
506,0,0,2
507,-4,-4,2
508,-4,-4,-4
509,325,250,2
510,-4,-4,-4
511,-4,-4,-4
512,-4,-4,-4
513,200,100,1
514,-4,-4,-4
515,900,300,1
516,500,200,1
517,-4,-4,-4
518,-4,-4,2
519,-4,-4,-4
520,-4,-4,-4
521,-4,-4,2
522,200,0,-4
523,-4,-4,-4
524,-4,-4,-4
525,200,125,1
526,425,250,1
527,-4,-4,-4
528,300,0,3
529,100,0,2
530,0,0,3
531,-4,-4,-4
532,-4,-4,2
533,-4,-4,2
534,-4,-4,-4
535,-4,-4,-4
536,-4,-4,2
537,425,100,0
538,200,100,1
539,-4,-4,-4
540,100,0,2
541,-4,-4,2
542,0,0,3
543,200,0,2
544,-4,-4,-4
545,-4,-4,-4
546,-4,-4,-4
547,0,0,3
548,700,100,2
549,-4,-4,-4
550,200,0,3
551,-4,-4,-4
552,-4,-4,-4
553,700,100,1
554,-4,-4,-4
555,0,0,2
556,325,100,2
557,-4,-4,-4
558,0,0,2
559,200,0,2
560,-4,-4,-4
561,550,0,1
562,375,0,1
563,525,300,1
564,100,0,2
